2024-11-13 11:21:15.207 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-11-13 11:21:15.223 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-11-13 11:21:15.229 [restartedMain] INFO  com.cow.horse.BackendApplication - Started BackendApplication in 3.013 seconds (JVM running for 3.677)
2024-11-13 11:21:15.231 [restartedMain] INFO  com.cow.horse.BackendApplication - =====================项目后端启动成功============================
2024-11-13 11:21:18.667 [http-nio-8080-exec-5] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-11-13 11:21:18.668 [http-nio-8080-exec-5] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-11-13 11:21:18.669 [http-nio-8080-exec-5] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-11-13 11:21:30.365 [http-nio-8080-exec-25] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2024-11-13 11:21:30.375 [http-nio-8080-exec-25] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2024-11-13 11:21:48.915 [http-nio-8080-exec-39] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2024-11-13 11:22:51.719 [http-nio-8080-exec-36] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2024-11-13 11:22:51.723 [http-nio-8080-exec-36] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2024-11-13 11:24:28.158 [http-nio-8080-exec-96] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2024-11-13 11:27:38.258 [http-nio-8080-exec-46] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2024-11-13 11:27:38.261 [http-nio-8080-exec-46] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2024-11-13 11:29:01.437 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2024-11-13 11:29:01.438 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-11-13 11:29:01.441 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-11-13 11:29:04.522 [restartedMain] INFO  com.cow.horse.BackendApplication - Starting BackendApplication using Java 1.8.0_361 on Snow with PID 2188 (E:\Source_Code\SpringBoot+Vue旅游信息推荐系统（带文档）\SpringBoot+Vue旅游信息推荐系统\backend-Api\target\classes started by 29064 in E:\Source_Code\SpringBoot+Vue旅游信息推荐系统（带文档）\SpringBoot+Vue旅游信息推荐系统\backend-Api)
2024-11-13 11:29:04.524 [restartedMain] INFO  com.cow.horse.BackendApplication - The following profiles are active: dev
2024-11-13 11:29:04.562 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-11-13 11:29:04.562 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-11-13 11:29:04.989 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2024-11-13 11:29:04.990 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-11-13 11:29:05.011 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2024-11-13 11:29:05.396 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-11-13 11:29:05.402 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-11-13 11:29:05.402 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-11-13 11:29:05.403 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2024-11-13 11:29:05.491 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-13 11:29:05.491 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 928 ms
2024-11-13 11:29:05.757 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2024-11-13 11:29:06.398 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-11-13 11:29:07.298 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2024-11-13 11:29:07.496 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-11-13 11:29:07.523 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-11-13 11:29:07.541 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-11-13 11:29:07.548 [restartedMain] INFO  com.cow.horse.BackendApplication - Started BackendApplication in 3.329 seconds (JVM running for 4.031)
2024-11-13 11:29:07.551 [restartedMain] INFO  com.cow.horse.BackendApplication - =====================项目后端启动成功============================
2024-11-13 11:29:17.134 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-11-13 11:29:17.134 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-11-13 11:29:17.135 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-11-13 11:33:23.554 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2024-11-13 11:33:23.555 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-11-13 11:33:23.559 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
